method,missing_mode,missing_rate,repeat,rmse
01_均值填充,MCAR,0.1,1,0.519380235921965
02_中位数填充,MCAR,0.1,1,0.5195941454704843
03_KNN填充_k3,MCAR,0.1,1,0.5205577692636156
04_KNN填充_k5,MCAR,0.1,1,0.4635610453787594
05_线性回归,MCAR,0.1,1,0.49160178610206856
06_岭回归,MCAR,0.1,1,0.49188666929931135
07_Lasso,MCAR,0.1,1,0.5063669763330687
08_ElasticNet,MCAR,0.1,1,0.4988104365821896
09_贝叶斯岭回归,MCAR,0.1,1,0.4964001325154005
10_决策树,MCAR,0.1,1,0.5064491584626121
11_随机森林,MCAR,0.1,1,0.5647968224754413
12_极端随机树,MCAR,0.1,1,0.593241977394228
13_GradientBoosting,MCAR,0.1,1,0.5516161331282259
14_AdaBoost,MCAR,0.1,1,0.5463003713073987
15_SVR_rbf,MCAR,0.1,1,0.5058451256305964
16_KNN回归_k3,MCAR,0.1,1,0.5557223238594869
17_KNN回归_k5,MCAR,0.1,1,0.5718732534707562
18_MLP神经网络,MCAR,0.1,1,0.5351433272470723
19_迭代插补_贝叶斯,MCAR,0.1,1,0.5168204903533207
20_迭代插补_随机树,MCAR,0.1,1,0.6070294827525393
01_均值填充,MCAR,0.1,2,0.5918352769967156
02_中位数填充,MCAR,0.1,2,0.5819870127810717
03_KNN填充_k3,MCAR,0.1,2,0.5493632494284261
04_KNN填充_k5,MCAR,0.1,2,0.576906850450242
05_线性回归,MCAR,0.1,2,0.557415510884491
06_岭回归,MCAR,0.1,2,0.557803883944953
07_Lasso,MCAR,0.1,2,0.5783255692679037
08_ElasticNet,MCAR,0.1,2,0.5682034987768408
09_贝叶斯岭回归,MCAR,0.1,2,0.5647829441002749
10_决策树,MCAR,0.1,2,0.3400417995342218
11_随机森林,MCAR,0.1,2,0.42433262663906074
12_极端随机树,MCAR,0.1,2,0.4419137638578788
13_GradientBoosting,MCAR,0.1,2,0.3814818001275641
14_AdaBoost,MCAR,0.1,2,0.4304842246594747
15_SVR_rbf,MCAR,0.1,2,0.5537482795938202
16_KNN回归_k3,MCAR,0.1,2,0.6499898120856896
17_KNN回归_k5,MCAR,0.1,2,0.5586587090555364
18_MLP神经网络,MCAR,0.1,2,0.5563218963793747
19_迭代插补_贝叶斯,MCAR,0.1,2,0.5581221233122472
20_迭代插补_随机树,MCAR,0.1,2,0.42989790552117413
01_均值填充,MCAR,0.1,3,0.4761915767907948
02_中位数填充,MCAR,0.1,3,0.4721146752469149
03_KNN填充_k3,MCAR,0.1,3,0.5791816104614499
04_KNN填充_k5,MCAR,0.1,3,0.49869059801586924
05_线性回归,MCAR,0.1,3,0.4420958208860478
06_岭回归,MCAR,0.1,3,0.44271905289130936
07_Lasso,MCAR,0.1,3,0.4613380763388945
08_ElasticNet,MCAR,0.1,3,0.4521797444678169
09_贝叶斯岭回归,MCAR,0.1,3,0.452306045149029
10_决策树,MCAR,0.1,3,0.4665939437080784
11_随机森林,MCAR,0.1,3,0.4553554302601868
12_极端随机树,MCAR,0.1,3,0.44235294749055043
13_GradientBoosting,MCAR,0.1,3,0.49681825095573495
14_AdaBoost,MCAR,0.1,3,0.3849759283712786
15_SVR_rbf,MCAR,0.1,3,0.38960397198239927
16_KNN回归_k3,MCAR,0.1,3,0.5358770416225951
17_KNN回归_k5,MCAR,0.1,3,0.4878542610355391
18_MLP神经网络,MCAR,0.1,3,0.437955010370698
19_迭代插补_贝叶斯,MCAR,0.1,3,0.4587804475497804
20_迭代插补_随机树,MCAR,0.1,3,0.46986979179590016
01_均值填充,MCAR,0.1,4,0.3636633168004138
02_中位数填充,MCAR,0.1,4,0.35911545682208784
03_KNN填充_k3,MCAR,0.1,4,0.3205151814956383
04_KNN填充_k5,MCAR,0.1,4,0.3055944886132199
05_线性回归,MCAR,0.1,4,0.26499349373803716
06_岭回归,MCAR,0.1,4,0.2661064228531594
07_Lasso,MCAR,0.1,4,0.33326547470585693
08_ElasticNet,MCAR,0.1,4,0.30079684715300414
09_贝叶斯岭回归,MCAR,0.1,4,0.2893691460212892
10_决策树,MCAR,0.1,4,0.4320225779145688
11_随机森林,MCAR,0.1,4,0.2771118506573913
12_极端随机树,MCAR,0.1,4,0.33564611176413844
13_GradientBoosting,MCAR,0.1,4,0.32866186932394054
14_AdaBoost,MCAR,0.1,4,0.28027568193273994
15_SVR_rbf,MCAR,0.1,4,0.2989710201732608
16_KNN回归_k3,MCAR,0.1,4,0.2714954313057809
17_KNN回归_k5,MCAR,0.1,4,0.1727952575512737
18_MLP神经网络,MCAR,0.1,4,0.24243822689670996
19_迭代插补_贝叶斯,MCAR,0.1,4,0.294349325470095
20_迭代插补_随机树,MCAR,0.1,4,0.3787860475096076
01_均值填充,MCAR,0.1,5,0.5471149588252868
02_中位数填充,MCAR,0.1,5,0.5374786608125368
03_KNN填充_k3,MCAR,0.1,5,0.5612031991538365
04_KNN填充_k5,MCAR,0.1,5,0.5249602033105775
05_线性回归,MCAR,0.1,5,0.5601399067430347
06_岭回归,MCAR,0.1,5,0.55977542355472
07_Lasso,MCAR,0.1,5,0.5475534789319061
08_ElasticNet,MCAR,0.1,5,0.5516757581410804
09_贝叶斯岭回归,MCAR,0.1,5,0.5557281562155941
10_决策树,MCAR,0.1,5,0.332405741001621
11_随机森林,MCAR,0.1,5,0.3878056450994295
12_极端随机树,MCAR,0.1,5,0.4160710208277423
13_GradientBoosting,MCAR,0.1,5,0.3806241399131503
14_AdaBoost,MCAR,0.1,5,0.4094907379101113
15_SVR_rbf,MCAR,0.1,5,0.5148255841624365
16_KNN回归_k3,MCAR,0.1,5,0.5817072525209144
17_KNN回归_k5,MCAR,0.1,5,0.4640000644473736
18_MLP神经网络,MCAR,0.1,5,0.5594194362195721
19_迭代插补_贝叶斯,MCAR,0.1,5,0.5566664095516892
20_迭代插补_随机树,MCAR,0.1,5,0.41595759966583223
01_均值填充,MCAR,0.2,1,0.5279846884185482
02_中位数填充,MCAR,0.2,1,0.5269126040804637
03_KNN填充_k3,MCAR,0.2,1,0.49594150193000436
04_KNN填充_k5,MCAR,0.2,1,0.46463714631365566
05_线性回归,MCAR,0.2,1,0.4746029250083091
06_岭回归,MCAR,0.2,1,0.47532057962339125
07_Lasso,MCAR,0.2,1,0.514904341813316
08_ElasticNet,MCAR,0.2,1,0.4948962989178156
09_贝叶斯岭回归,MCAR,0.2,1,0.49149766811129175
10_决策树,MCAR,0.2,1,0.4525890247031688
11_随机森林,MCAR,0.2,1,0.4777775566263235
12_极端随机树,MCAR,0.2,1,0.5235911074119692
13_GradientBoosting,MCAR,0.2,1,0.48146813450163684
14_AdaBoost,MCAR,0.2,1,0.45990312728609245
15_SVR_rbf,MCAR,0.2,1,0.4779219715836656
16_KNN回归_k3,MCAR,0.2,1,0.518396418860609
17_KNN回归_k5,MCAR,0.2,1,0.44011545928454743
18_MLP神经网络,MCAR,0.2,1,0.49388601173272406
19_迭代插补_贝叶斯,MCAR,0.2,1,0.4852472410700095
20_迭代插补_随机树,MCAR,0.2,1,0.5135637785364436
01_均值填充,MCAR,0.2,2,0.47522087172277505
02_中位数填充,MCAR,0.2,2,0.4746832503530365
03_KNN填充_k3,MCAR,0.2,2,0.5495872645816006
04_KNN填充_k5,MCAR,0.2,2,0.5240837837351475
05_线性回归,MCAR,0.2,2,0.45485236553954067
06_岭回归,MCAR,0.2,2,0.4549268610307587
