method,missing_mode,missing_rate,rmse_mean,rmse_std
01_均值填充,MAR,0.1,0.4323316232310524,0.0971768319539035
01_均值填充,MAR,0.2,0.4548231609026159,0.06639862982132722
01_均值填充,MAR,0.3,0.43135139612616724,0.05726144762740783
01_均值填充,MAR,0.4,0.4747254437887295,0.02279273560336394
01_均值填充,MAR,0.5,0.4798030819236634,0.022324644347419004
01_均值填充,MCAR,0.1,0.49963707306703514,0.08686628317756917
01_均值填充,MCAR,0.2,0.5124940787989202,0.09072928565311682
01_均值填充,MCAR,0.3,0.510542391743675,0.04904437779521035
01_均值填充,MCAR,0.4,0.4978887734662921,0.023092475176030414
01_均值填充,MCAR,0.5,0.4956602427258976,0.024274139160227727
01_均值填充,MNAR,0.1,0.6764158291627453,0.049009635454502876
01_均值填充,MNAR,0.2,0.6762463723887328,0.07185250898356386
01_均值填充,MNAR,0.3,0.6831095016425844,0.014932123947881364
01_均值填充,MNAR,0.4,0.8219504941026499,0.0
01_均值填充,MNAR,0.5,0.76158387528237,0.0073276086594888604
02_中位数填充,MAR,0.1,0.42991045261893346,0.09725561021331519
02_中位数填充,MAR,0.2,0.4557788283887515,0.06468007080882557
02_中位数填充,MAR,0.3,0.4307224276200503,0.05750371422017092
02_中位数填充,MAR,0.4,0.47254397738900406,0.022301765129497723
02_中位数填充,MAR,0.5,0.4800779167703794,0.022121385454110905
02_中位数填充,MCAR,0.1,0.4940579902266191,0.08508812969516154
02_中位数填充,MCAR,0.2,0.507201417281274,0.0850099961143476
02_中位数填充,MCAR,0.3,0.5055388522019011,0.04443530624513943
02_中位数填充,MCAR,0.4,0.4971464820098646,0.020655867255256206
02_中位数填充,MCAR,0.5,0.495983860116613,0.023862808650787687
02_中位数填充,MNAR,0.1,0.6551852642615956,0.044826369407512764
02_中位数填充,MNAR,0.2,0.6854502696333571,0.06142952148402981
02_中位数填充,MNAR,0.3,0.6927635824277755,0.011931268708309503
02_中位数填充,MNAR,0.4,0.8369825741885348,0.0
02_中位数填充,MNAR,0.5,0.7720295476757879,0.00894582446764123
03_KNN填充_k3,MAR,0.1,0.40493253935798845,0.066933859068478
03_KNN填充_k3,MAR,0.2,0.4395777586259104,0.051762876715156864
03_KNN填充_k3,MAR,0.3,0.44534612847489263,0.06919712776755915
03_KNN填充_k3,MAR,0.4,0.460214177089523,0.01438881950133107
03_KNN填充_k3,MAR,0.5,0.47576982358282516,0.03395329521978222
03_KNN填充_k3,MCAR,0.1,0.5061642019605933,0.10594777538680411
03_KNN填充_k3,MCAR,0.2,0.533199497810943,0.12417373999014322
03_KNN填充_k3,MCAR,0.3,0.5134466725743863,0.06990432638032461
03_KNN填充_k3,MCAR,0.4,0.4870230973833312,0.041874683312895296
03_KNN填充_k3,MCAR,0.5,0.48559145563634754,0.043845164996663806
03_KNN填充_k3,MNAR,0.1,0.6237978928489046,0.1321777933699384
03_KNN填充_k3,MNAR,0.2,0.619885818757738,0.07704755446279284
03_KNN填充_k3,MNAR,0.3,0.5964004941087854,0.03167346751339664
03_KNN填充_k3,MNAR,0.4,0.8484870368930505,0.0
03_KNN填充_k3,MNAR,0.5,0.8203883972496758,0.03419199346789341
04_KNN填充_k5,MAR,0.1,0.38366515741005125,0.05160470204496902
04_KNN填充_k5,MAR,0.2,0.40438869205985944,0.039814677408016606
04_KNN填充_k5,MAR,0.3,0.41101759590887194,0.061206854969992924
04_KNN填充_k5,MAR,0.4,0.4332477939301291,0.04344374411900869
04_KNN填充_k5,MAR,0.5,0.43598944857984473,0.024803936550653542
04_KNN填充_k5,MCAR,0.1,0.4739426371537336,0.10279318971601632
04_KNN填充_k5,MCAR,0.2,0.503257635216086,0.11735432076886272
04_KNN填充_k5,MCAR,0.3,0.49236142239006747,0.0749451063870702
04_KNN填充_k5,MCAR,0.4,0.46643430961609145,0.04008149799304153
04_KNN填充_k5,MCAR,0.5,0.4642494555380462,0.03185446863131999
04_KNN填充_k5,MNAR,0.1,0.6087339115705008,0.10419165144127432
04_KNN填充_k5,MNAR,0.2,0.5789452609851915,0.04869190034799087
04_KNN填充_k5,MNAR,0.3,0.5747224012966062,0.03404960214545635
04_KNN填充_k5,MNAR,0.4,0.9001114702470214,0.0
04_KNN填充_k5,MNAR,0.5,0.8455205668241776,0.020231550084366702
05_线性回归,MAR,0.1,0.43964851014459416,0.10458792398031577
05_线性回归,MAR,0.2,0.436600882552197,0.05367430785621427
05_线性回归,MAR,0.3,0.41973355902029974,0.026451145077871052
05_线性回归,MAR,0.4,0.47538945371890334,0.023593192262266836
05_线性回归,MAR,0.5,0.4942540077472873,0.03353873429467059
05_线性回归,MCAR,0.1,0.4632493036707358,0.12125568317686096
05_线性回归,MCAR,0.2,0.4776627739221396,0.08383819965436175
05_线性回归,MCAR,0.3,0.48624305676803115,0.029840895502663483
05_线性回归,MCAR,0.4,0.4663730086638808,0.02355619905397853
05_线性回归,MCAR,0.5,0.46555349137027263,0.02584326710169021
05_线性回归,MNAR,0.1,0.6366421241498846,0.034324200767867845
05_线性回归,MNAR,0.2,0.6356355734532875,0.07304694790574484
05_线性回归,MNAR,0.3,0.6529400731089027,0.01687330969018182
05_线性回归,MNAR,0.4,0.9239434106649542,0.0
05_线性回归,MNAR,0.5,0.8591676236374074,0.013241910583542611
06_岭回归,MAR,0.1,0.4395796412691997,0.10475759004077653
06_岭回归,MAR,0.2,0.4368996734120644,0.05368982662411072
06_岭回归,MAR,0.3,0.4198156955310795,0.026745808127692425
06_岭回归,MAR,0.4,0.47509413926221244,0.023165704073333654
06_岭回归,MAR,0.5,0.4937906399194457,0.03290405944112745
06_岭回归,MCAR,0.1,0.46365829050869056,0.12079313875774003
06_岭回归,MCAR,0.2,0.47792666771371745,0.08416841274233794
06_岭回归,MCAR,0.3,0.4864625026046633,0.029972060315028696
06_岭回归,MCAR,0.4,0.4667445094781309,0.023504597013568253
06_岭回归,MCAR,0.5,0.46603015360340755,0.025803194747759474
06_岭回归,MNAR,0.1,0.6372893585897114,0.03450623050058648
06_岭回归,MNAR,0.2,0.636264746293991,0.0731484657147042
06_岭回归,MNAR,0.3,0.6534945155422406,0.01679335366640926
06_岭回归,MNAR,0.4,0.9154670649333785,0.0
06_岭回归,MNAR,0.5,0.849472418447581,0.012344497839404231
07_Lasso,MAR,0.1,0.43187287751722925,0.09934407576011037
07_Lasso,MAR,0.2,0.44913601555959143,0.06820559559500326
07_Lasso,MAR,0.3,0.42557931686720474,0.05166399341058674
07_Lasso,MAR,0.4,0.4682123704423833,0.018516927204554143
07_Lasso,MAR,0.5,0.47798018550063137,0.017558875681633335
07_Lasso,MCAR,0.1,0.48536991511552596,0.09573624691685494
07_Lasso,MCAR,0.2,0.500026151453891,0.0931440071963788
07_Lasso,MCAR,0.3,0.5046857159047231,0.04707165285039163
07_Lasso,MCAR,0.4,0.4892645346854865,0.026259071541901408
07_Lasso,MCAR,0.5,0.48873766472172636,0.026820851280543834
07_Lasso,MNAR,0.1,0.6639485790177047,0.04545874895042566
07_Lasso,MNAR,0.2,0.6667428549883051,0.07491482334667825
07_Lasso,MNAR,0.3,0.6759886626879751,0.017999759062634124
07_Lasso,MNAR,0.4,0.8269772663176255,0.0
07_Lasso,MNAR,0.5,0.7659032459048577,0.00951895519866853
08_ElasticNet,MAR,0.1,0.4335584308645606,0.10123896630560276
08_ElasticNet,MAR,0.2,0.44178416083160704,0.060122125936426046
