年份,PM2.5浓度,城市,温度,风向
2000,3.134422588378186,广州,22.38,56.7
2001,3.6427008863008474,广州,22.45,65.5
2002,2.924574628767236,广州,22.88,88.6
2003,2.9444290744011035,广州,22.9,87.6
2004,3.6556046523195094,广州,22.75,64.9
2005,2.323462294090417,广州,22.68,79.8
2006,2.9550293924781212,广州,23.1,62.9
2007,3.0104426035348912,广州,23.11,65.6
2008,3.4925044523070894,广州,22.35,61.0
2009,2.7594263563949597,广州,22.88,79.0
2010,3.1387186981424176,广州,22.43,71.2
2011,2.668152780891758,广州,21.32,71.2
2012,2.857295966958903,广州,21.57,71.2
2013,2.6672902995091476,广州,21.45,71.2
2014,2.5485033458561017,广州,21.6,71.2
2015,2.0929409964380117,广州,22.15,71.2
2016,2.1125273810355467,广州,21.81,71.2
2017,2.241318639943184,广州,22.0,71.2
2018,2.839585168853039,广州,22.03,71.2
2019,2.4533600267070037,广州,22.54,71.2
2020,1.813619459473115,广州,22.56,71.2
2021,2.265425635278316,广州,22.82,71.2
2022,2.26584582578108,广州,21.94,71.2
2000,2.6355407210798556,深圳,23.3,78.5
2001,3.1812944098486007,深圳,23.48,84.8
2002,2.710810106480258,深圳,23.5,97.1
2003,2.7351388789259583,深圳,23.39,96.5
2004,3.25316418063141,深圳,23.56,88.2
2005,2.1263294472384504,深圳,23.27,95.2
2006,2.5957292269322236,深圳,23.64,88.2
2007,2.604728791451755,深圳,23.79,87.4
2008,3.1794929471658677,深圳,23.03,79.5
2009,2.44162041695972,深圳,23.72,88.2
2010,2.8174713458696083,深圳,23.44,88.4
2011,2.483646621698199,深圳,22.97,88.4
2012,2.4692472723926904,深圳,23.43,88.4
2013,2.389974657762695,深圳,23.26,88.4
2014,2.1369877332977354,深圳,23.34,88.4
2015,1.80612411554426,深圳,24.05,88.4
2016,1.821314668989011,深圳,23.31,88.4
2017,2.0600501506040634,深圳,23.8,88.4
2018,2.5448567235001684,深圳,23.57,88.4
2019,2.1482562078771013,深圳,24.31,88.4
2020,1.5348390422035656,深圳,24.28,88.4
2021,2.0486929067549844,深圳,24.37,88.4
2022,2.0311129667049967,深圳,23.46,88.4
2000,2.847391410617146,东莞,22.84,72.1
2001,3.3581038459222046,东莞,22.96,79.1
2002,2.78696368298063,东莞,23.19,101.2
2003,2.8840693907146893,东莞,23.14,97.9
2004,3.45605743098017,东莞,23.16,82.1
2005,2.211076245706157,东莞,22.98,95.3
2006,2.7543854326979775,东莞,23.37,81.3
2007,2.7819803266604377,东莞,23.45,82.1
2008,3.3532429703312783,东莞,22.69,78.1
2009,2.5830135669258074,东莞,23.3,87.8
2010,2.958326228083562,东莞,22.94,85.7
2011,2.5963968174521246,东莞,22.14,85.7
2012,2.6368809682060985,东莞,22.5,85.7
2013,2.5022251955627213,东莞,22.36,85.7
2014,2.311793576015297,东莞,22.47,85.7
2015,1.9041089399651756,东莞,23.1,85.7
2016,1.9333764103568463,东莞,22.56,85.7
2017,2.1553123938367054,东莞,22.9,85.7
2018,2.6885145591274795,东莞,22.8,85.7
2019,2.289255710922571,东莞,23.42,85.7
2020,1.6680847582846898,东莞,23.42,85.7
2021,2.1406335014758273,东莞,23.6,85.7
2022,2.152210224852053,东莞,22.7,85.7
2000,2.963510432422526,佛山,22.47,53.1
2001,3.508184328685861,佛山,22.55,61.0
2002,2.8096921594888955,佛山,22.98,82.3
2003,2.9153717565066892,佛山,23.0,82.6
2004,3.5854702262749782,佛山,22.85,59.5
2005,2.2820098195356735,佛山,22.78,73.3
2006,2.8621423379486064,佛山,23.2,57.9
2007,2.920354606287628,佛山,23.21,60.9
2008,3.5012677572036437,佛山,22.45,54.9
2009,2.6539179788972103,佛山,22.98,75.1
2010,3.03089523386498,佛山,22.53,66.1
2011,2.6255764368210417,佛山,21.43,66.1
2012,2.7256352452820214,佛山,21.67,66.1
2013,2.6036863591076074,佛山,21.55,66.1
2014,2.465283454230102,佛山,21.7,66.1
2015,1.985456410391605,佛山,22.25,66.1
2016,2.012036449487257,佛山,21.91,66.1
2017,2.1974295230653427,佛山,22.1,66.1
2018,2.827187391603777,佛山,22.12,66.1
2019,2.3973274291636906,佛山,22.64,66.1
2020,1.743986576679956,佛山,22.66,66.1
2021,2.2284606405557437,佛山,22.93,66.1
2022,2.2271328485127633,佛山,22.04,66.1
